Area name,Area budget,,,,,,,,,
Kársnes,33,,,,,,,,,
Digranes,62,,,,,,,,,
Smárahverfi,24,,,,,,,,,
Lindir og Salir,36,,,,,,,,,
Vatnsendi,45,,,,,,,,,
,,,,,,,,,,
Area Name,URL to original idea (optional),Costs,Location 1,Location 2 (optional),Name-is,Description-is,Name-en,Description-en,Name-pl,Description-pl
Lindir og Salir,https://yrpri.org/post/59095,8,"64.092260, -21.870491",,Leiksvæði milli Þorrasala og Þrúðsala,Endurbætur á leiksvæði milli Þorrasala og Þrúðsala,Playground area between Þorrasalir and Þrúðsalir,Improvements to the playground area between Þorrasalir and Þrúðsalir,Plac zabaw pomiędzy ulicami Þorrasalir i Þrúðsalir,Projekt zakłada ulepszenie placu zabaw pomiędzy ulicami Þorrasalir i Þrúðsalir
Lindir og Salir,https://yrpri.org/post/59837,8,"64.090009, -21.848103",,Leiksvæði milli Roðasala og Skjólsala,Lagfæra leiksvæði milli Roðasala og Skjólsala,Playground area between Roðasalir and Skjólsalir,Make repairs to the playground area between Roðasalir and Skjólsalir,Plac zabaw pomiędzy ulicami Roðasalir i Skjólsalir,Projekt zakłada naprawę placu zabaw pomiędzy ulicami Roðasalir i Skjólsalir
Lindir og Salir,https://yrpri.org/post/59075,10,"64.089878, -21.840442",,Sparkvöllur og opið svæði við Rjúpnasali,"Setja gervigras á sparkvöll sunnan við Rjúpnasali 10-14, gera dvalarsvæði og auka gróður",Football pitch and open area at Rjúpnasalir,"Put artificial grass on the football pitch to the south of Rjúpnasalir 10-14, construct a picnic area and add more vegitation",Boisko do piłki nożnej i tereny zielone przy ulicy Rjúpnasalir,"Projekt zakłada ułożenie sztucznej murawy na boisku do piłki nożnej przy ulicy Rjúpnasalir 10-14, budowę miejsca piknikowego i nasadzenie większej liczby roślin"
Lindir og Salir,https://yrpri.org/post/59357,12,"64.091937, -21.855924",,Sauna í Salalaug,Setja upp sauna í Salalaug,Sauna in the Salalaug pool,Construct a sauna in Salalaug pool,Sauna na terenie basenu Salalaug,Projekt zakłada budowę sauny na terenie basenu Salalaug
Lindir og Salir,https://yrpri.org/post/59928,9,"64.093995, -21.856686",,Ungbarnaleiksvæði á leikskólanum Fífusölum,Laga leiksvæði fyrir yngstu börnin á Fífusölum,Playground area for toddlers at Fífusalir kindergarten,Repair the playground area for the youngest children at Fífusalir,Plac zabaw dla najmłodszych dzieci przy przedszkolu Fífusalir,Projekt zakłada naprawę placu zabaw dla najmłodszych dzieci przy przedszkolu Fífusalir
Lindir og Salir,https://yrpri.org/post/59520,6,"64.117733, -21.926875",,Meiri jólaljós í hverfið,Setja upp skreytingar á ljósastaura og stór tré í hverfinu,More Christmas lights in the neighbourhood,Put decorations on lamp posts and large trees in the neighbourhood,Dodatkowe oświetlenie świąteczne w okolicy,Projekt zakłada montaż dekoracji świątecznych na latarniach i dużych drzewach w okolicy
Lindir og Salir,https://yrpri.org/post/59808,11,"64.096194, -21.864518",,Lýsing á göngustíg við Fífuhvammsveg,Setja upp lýsingu á göngustíg við Fífuhvammsveg milli Salavegar og Hlíðardalsvegar,Pedestrian lighting by the footpath along Fífuhvammsvegur,Install lighting by the footpath at Fífuhvammsvegur frm Nettó to Hlíðardalsvegur,Oświetlenie chodnika dla pieszych wzdłuż ulicy Fífuhvammsvegur,"Projekt zakłada montaż oświetlenia przy chodniku wzdłuż ulicy Fífuhvammsvegur, od Nettó do ulicy Hlíðardalsvegur"
Lindir og Salir,https://yrpri.org/post/59656,7,"64.094436, -21.861578",,Aðgengi að strætóbiðskýli við Fífuhvammsveg,"Gera gönguleið að strætóbiðskýli við Fífuhvammsveg, neðan Ársala",Access to the bus shelter at Fífuhvammsvegur,"Construct a footpath up to the bus shelter at Fífuhvammsvegur, below Ársalir",Dostęp do wiaty przystankowej przy ulicy Fífuhvammsvegur,"Projekt zakłada budowę chodnika do wiaty przystankowej przy ulicy Fífuhvammsvegur, poniżej ulicy Ársalir"
Lindir og Salir,https://yrpri.org/post/59416,7,"64.089067, -21.844337",,Lýsing á göngustíg meðfram golfvelli,Bæta lýsingu á stíg fyrir gangandi meðfram golfvelli GKG,Lighting by the footpath along the golf course,Add lighting to the path for pedestrians along the golf course of Garðabær Golf Club,Oświetlenie chodnika wzdłuż pola golfowego,Projekt zakłada montaż oświetlenia chodnika wzdłuż pola golfowego Garðabær Golf Club
Vatnsendi,https://yrpri.org/post/59675,18,"64.087662, -21.829435",,Lóð leikskólans Baugs,Bæta ungbarnasvæðið og endurnýja kastala á lóð leikskólans Baugs,The grounds of the preschool Baugur,Make improvements to the toddler area and renovate the castle on the grounds of Baugur preschool,Teren przedszkola Baugur,Projekt zakłada ulepszenie obszaru przeznaczonego dla najmłodszych dzieci i odnowienie zamku na placu zabaw przedszkola Baugur
Vatnsendi,https://yrpri.org/post/59674,13,"64.085098, -21.827509",,Klifurveggur á lóð Hörðuvallaskóla,Setja upp klifurvegg á lóð Hörðuvallaskóla,Climbing wall on the grounds of Hörðuvallaskóli,Install a climbing wall on the grounds of Hörðuvallaskóli,Ścianka wspinaczkowa na terenie szkoły Hörðuvallaskóli,Projekt zakłada budowę ścianki wspinaczkowej na terenie szkoły Hörðuvallaskóli
Vatnsendi,https://yrpri.org/post/59676,14,"64.085060, -21.825118",,Sleppisvæði við Hörðuvallaskóla,Bæta sleppisvæði við Hörðuvallaskóla,Free range area for dogs at Hörðuvallaskóli,Add a free range area for dogs at Hörðuvallaskóli,Wybieg dla psów przy szkole Hörðuvallaskóli,Projekt zakłada budowę wybiegu dla psów przy szkole Hörðuvallaskóli
Vatnsendi,https://yrpri.org/post/62169,11,"64.117732, -21.922143",,Lýsing gangbrauta við hringtorg,Bæta lýsingu gangbrauta við hringtorg við leik- og grunnskóla í hverfinu,Ligthing of pedestrian crossings at roundabouts,Lighting of pedestrian crossings at the roundabout by the kindergartens and elementary schools in the neighbourhood,Oświetlenie przejść dla pieszych na rondach,Projekt zakłada montaż oświetlenia przejść dla pieszych na rondach przy przedszkolach i szkołach podstawowych w okolicy
Vatnsendi,https://yrpri.org/post/59028,11,"64.078806, -21.821458",,Malarstígur milli Boðaþings og Guðmundarlundar,Gera göngu- og hjólastíg milli Boðaþings og Guðmundarlundar,Footpath between Boðaþing and Guðmundarlundur,Footpath between Boðaþing and Guðmundarlundur,Ścieżka spacerowa między ulicą Boðaþing a parkiem Guðmundarlundur,Projekt zakłada budowę ścieżki spacerowej między ulicą Boðaþing a parkiem Guðmundarlundur
Vatnsendi,https://yrpri.org/post/58996,10,"64.085472, -21.844321",,Æfingatæki við Austurkór,Setja upp æfingatæki (þrektæki) á opnu svæði í Austurkór,Exercise devices at Austurkór,Install exercise devices (stamina-building equipment) in the open area at Austurkór,Trenażery przy ulicy Austurkór,Projekt zakłada montaż trenażerów (urządzeń do poprawy sprawności) na terenach zielonych przy ulicy Austurkór
Vatnsendi,https://yrpri.org/post/59062,6,"64.089121, -21.805156","64.082669, -21.823293",Læsanleg hlaupahjólastæði við Vatnsendaskóla og Kórinn,Setja upp læsanleg hlaupahjólastæði við Vatnsendaskóla og Kórinn,"Scooter parking, with locks, at Vatnsendaskóli and Kórinn","Install scooter parking, with locks, at Vatnsendaskóli and Kórinn",Parking dla hulajnóg przy szkole i hali sportowej,Projekt zakłada budowę wyposażonego w blokady parkingu dla hulajnóg przy szkole Vatnsendaskóli i kompleksie sportowym Kórinn
Vatnsendi,https://yrpri.org/post/59024,8,"64.072673, -21.824912",,Leiktæki í Guðmundarlund,Endurnýja og fjölga leiktækjum í Guðmundarlundi,Playground equipment in Guðmundarlundur,Add more playground equipment and renovate existing equipment in Guðmundarlundur,Wyposażenie placu zabaw w parku Guðmundarlundur,Projekt zakłada zamontowanie nowych i odnowienie istniejących urządzeń na placu zabaw w parku Guðmundarlundur
Vatnsendi,https://yrpri.org/post/59863,10,"64.085011, -21.847984",,Sleðabrekka í Austurkór,Gera sleðabrekku í Austurkórnum eða þar í kring,Sledding slope in Austurkór,Create a sledding slope at Austurkórinn or in that vicinity,Trasa saneczkowa przy ulicy Austurkór,Projekt zakłada budowę trasy saneczkowej w rejonie Austurkórinn lub w pobliżu
Vatnsendi,https://yrpri.org/post/59736,4,"64.084558, -21.829403",,Lýsing við undirgöng milli Ásakórs og Hörðuvallaskola,Bæta lýsingu í brekku við undirgöngin milli Ásakórs og Hörðuvallaskola,Lighting by the underbridge between Ásakór and Hörðuvallaskóli,Improve the lighting in the slope by the underbridge between Ásakór and Hörðuvallaskóli,Oświetlenie przejścia pod mostem między ulicą Ásakór a szkołą Hörðuvallaskóli,Projekt zakłada poprawę oświetlenia zejścia pod most między ulicą Ásakór a szkołą Hörðuvallaskóli
Vatnsendi,https://yrpri.org/post/59115,17,"64.071832, -21.816909",,Malarstígar fyrir gangandi og hjólandi á Vatnsendaheiði,"Aðskilja betur reiðstíga og göngu- og hjólastíga á Vatnsendaheiði, í nágrenni Guðmundarlundar",Gravel paths for pedestrians and cyclists in Vatnsendaheiði,"Define better the separation between the horse riding paths, footpaths and cycle lanes on Vatnsendaheiði, in the vicinity of Guðmundarlundur",Ścieżki żwirowe dla pieszych i rowerzystów w rejonie Vatnsendaheiði,"Projekt zakłada lepsze rozdzielenie ścieżek dla koni, pieszych i rowerowych w rejonie Vatnsendaheiði w pobliżu parku Guðmundarlundur"
Vatnsendi,https://yrpri.org/post/59096,12,"64.085058, -21.828209",,Stór kastali á lóð Hörðuvallaskóla,Setja upp stóran kastala með klifurgrind o.fl. á lóð Hörðuvallaskóla,Large castle on the grounds of Hörðuvallaskóli,install a large castle with a jungle gym and other accessories on the grounds of Hörðuvallaskóli,Duży zamek na terenie szkoły Hörðuvallaskóli,Projekt zakłada montaż dużego zamku wraz z drabinkami i innymi akcesoriami na terenie szkoły Hörðuvallaskóli
Vatnsendi,https://yrpri.org/post/59055,9,"64.083428, -21.817323",,Æfingatæki (þrektæki) í Þingahverfi,"Setja upp æfingatæki í Þingahverfi, við stíg sunnan Boðaþings",Exercise devices (stamina-building equipment) in Þingahverfi,"Install exercise devices in Þingahverfi, for example at Boðaþing",Trenażery (urządzenia do poprawy sprawności) w dzielnicy Þingahverfi,"Projekt zakłada montaż trenażerów w dzielnicy Þingahverfi, np. przy ulicy Boðaþing"
Vatnsendi,https://yrpri.org/post/59567,20,"64.082004, -21.826759",,Strandblakvöllur á opnu svæði,Gera strandblakvöll á opnu svæði við Tröllakór,Beach volleyball court in the open area at Tröllakór,Construct a beach volleyball court in the open area at Tröllakór,Boisko do siatkówki plażowej na terenach zielonych przy ulicy Tröllakór,Projekt zakłada budowę boiska do siatkówki plażowej na terenach zielonych przy ulicy Tröllakór
Vatnsendi,https://yrpri.org/post/59684,13,"64.093060, -21.802607",,Leiksvæði við Grundarhvarf,Endurnýja leiksvæði milli Brekku- og Grundarhvarfs,Playground area by Grundarhvarf,Renovate the playground area between Brekkuhvarf and Grundarhvarf,Plac zabaw przy ulicy Grundarhvarf,Projekt zakłada odnowienie placu zabaw pomiędzy ulicami Brekkuhvarf i Grundarhvarf
Vatnsendi,https://yrpri.org/post/59049,3,"64.117698, -21.912776",,Ruslatunnur við göngustíga,Setja upp fleiri ruslatunnur við göngustíga og hafa þær með loki,Waste containers by footpaths,Increase the number of waste containers by footpaths and have covers for them,Kosze na śmieci przy ścieżkach spacerowych,Projekt zakłada zwiększenie liczby wyposażonych w pokrywy koszy na śmieci przy ścieżkach spacerowych
Vatnsendi,https://yrpri.org/post/59341,10,"64.079648, -21.817366",,Meiri trjágróður í hverfið,Auka við trjágróður við Þingmannaleið og nágrenni,More arboreal vegetation in the neighbourhood,Add more arboreal vegetation in the neighbourhood,Więcej drzew w okolicy,Projekt zakłada zwiększenie liczby drzew w okolicy
Vatnsendi,https://yrpri.org/post/59848,11,"64.089786, -21.812059",,Lóð og leiktæki leikskólans Sólhvarfa,"Leikskólinn Sólhvörf, endurbætur á hluta lóðar og leiktækjum",Grounds and playground equipment of Sólhvörf preschool,"Sólhvörf preschool, make improvements to part of the grounds and playground equipment",Plac zabaw i urządzenia zabawowe przy przedszkolu Sólhvörf,Projekt zakłada ulepszenie części terenu i wyposażenia placu zabaw przy przedszkolu Sólhvörf
Vatnsendi,https://yrpri.org/post/59401,10,"64.092635, -21.801577",,Lýsing við stíga í nágrenni Brekkuhvarfs,Bæta lýsingu við stíga í nágrenni Brekkuhvarfs,Lighting by the paths in the vicinity of Brekkuhvarf,Add lighting by the paths in the vicinity of Brekkuhvarf,Oświetlenie chodników w okolicy ulicy Brekkuhvarf,Projekt zakłada montaż oświetlenia chodników w okolicy ulicy Brekkuhvarf
Vatnsendi,https://yrpri.org/post/59005,11,"64.086043, -21.839670",,Leiksvæði milli Almannakórs og Álmakórs,Gera nýtt leiksvæði í skógarrjóðri milli Almannakórs og Álmakórs,Playground area between Almannakór and Álmakór,Construct a new playground area in the clearing in the woods between Almannakór and Álmakór,Plac zabaw pomiędzy ulicami Almannakór i Álmakór,Projekt zakłada budowę nowego placu zabaw na polanie w lasku między ulicami Almannakór i Álmakór
