Area name,Area budget,,,,,,,,,
Kársnes,33,,,,,,,,,
Digranes,62,,,,,,,,,
Smárahverfi,24,,,,,,,,,
Lindir og Salir,36,,,,,,,,,
Vatnsendi,45,,,,,,,,,
,,,,,,,,,,
Area Name,URL to original idea (optional),Costs,Location 1,Location 2 (optional),Name-is,Description-is,Name-en,Description-en,Name-pl,Description-pl
Kársnes,https://yrpri.org/post/59860,12,"64.109642, -21.921580",,Klifurveggur við Kársnesskóla,Setja upp klifurvegg á lóð Kársnesskóla,Climbing wall at Kársnes school,Install a climbing wall on the grounds of Kársnes school,Ścianka wspinaczkowa przy szkole w Kársnes,Projekt zakłada budowę ścianki wspinaczkowej na terenie szkoły w Kársnes
Kársnes,https://yrpri.org/post/58988,7,"64.110260, -21.915997",,Stigi við vatnsrennibraut í Sundlaug Kópavogs,Endurnýja stiga við vatnsrennibraut í Sundlaug Kópavogs,Path at the water slide in Kópavogur swimming pool,Upgrade the paths at the water slide in Kópavogur swimming pool,Ścieżka przy zjeżdżalni wodnej w kompleksie basenowym Kópavogur,Projekt zakłada modernizację ścieżek przy zjeżdżalni wodnej w kompleksie basenowym Kópavogur
Kársnes,https://yrpri.org/post/59867,5,"64.111743, -21.909645",,Spéspeglaveggur,Setja upp vegg sem á eru spéspeglar sem gera mann feitan eða grannan,Wall with funhouse mirrors,Install a wall with funhouse mirrors that make you look fat or thin,Ściana z krzywymi lustrami,Projekt zakłada budowę ściany z krzywymi lustrami
Kársnes,https://yrpri.org/post/59200,4,"64.115381, -21.935210",,Risaróla við Kársnesstíg,Setja uppp stóra rólu við Kársnesstíg,Large swing at Kársnesstígur,Install a large swing at Kársnesstígur,Duża huśtawka w Kársnesstígur,Projekt zakłada zamontowanie dużej huśtawki w Kársnesstígur
Kársnes,https://yrpri.org/post/59038,7,"64.109379, -21.916977",,Rólur á Rútstún,Setja fimmhyrningsrólu á Rútstún,Swings at Rútstún,Install a pentagram-shaped swing at Rútstún,Huśtawki na terenie Rútstún,Projekt zakłada zamontowanie huśtawki pięciokątnej z pięcioma siedziskami na terenie Rútstún
Kársnes,https://yrpri.org/post/59198,25,"64.115381, -21.935210",,Hjólabrettaleiksvæði,Gera hjólabrettaleiksvæði við Fossvoginn norðan Vesturvarar,Skateboarding area,Construct a Skateboarding area on Kársnes,Skatepark,Projekt zakłada budowę skateparku w Kársnes
Digranes,https://yrpri.org/post/59384,25,"64.116335, -21.878586",,Sparkvöllur við Snælandsskóla,Gera upplýstan sparkvöll (battavöll) við Snælandsskóla,Enclosed football pitch by Snæland school,"Construct an enclosed football pitch, with lights, at Snæland school",Zadaszone boisko do piłki nożnej w szkole Snæland,Projekt zakłada budowę zadaszonego boiska do piłki nożnej z oświetleniem w szkole Snæland
Digranes,https://yrpri.org/post/59381,25,"64.105659, -21.924731",,Eftirlitsmyndavélar í Digranesi,Setja upp eftirlitsmyndavélar í austurbæ Kópavogs,Video-surveillance cameras on Digranes,Install video-surveillance cameras in the eastern part of Kópavogur town,Kamery monitoringu w Digranes,Projekt zakłada montaż kamer monitoringu we wschodniej części Kópavogur
Digranes,https://yrpri.org/post/59373,11,"64.110495, -21.879025",,Gervigras á malarvöll við Lyngheiði,Setja gervigras á malarvöll milli Lyng- og Melaheiðar,Artificial grass on the gravel field at Lyngheiði,Put artificial grass on the gravel field between Lyngheiði and Melaheiði,Sztuczna murawa na boisku żwirowym przy ulicy Lyngheiði,Projekt zakłada ułożenie sztucznej murawy na boisku żwirowym pomiędzy ulicami Lyngheiði i Melaheiði
Digranes,https://yrpri.org/post/62166,12,"64.110458, -21.877472",,Leiksvæði milli Melaheiðar og Lyngheiðar,Endurnýjun leiksvæðis á milli Melaheiðar og Lyngheiðar,Playground area between Melaheiði and Lyngheiði,Renovation of the playground area between Melaheiði and Lyngheiði,Plac zabaw pomiędzy ulicami Melaheiði i Lyngheiði,Projekt zakłada odnowienie placu zabaw pomiędzy ulicami Melaheiði i Lyngheiði
Digranes,https://yrpri.org/post/59129,8,"64.110763, -21.877400",,Aparóla milli Melaheiðar og Lyngheiðar,Setja upp aparólu á leiksvæði á milli Melaheiðar og Lyngheiðar,Monkey swing between Melaheiði and Lyngheiði,Install a monkey swing in the playground area between Melaheiði and Lyngheiði,Tyrolka na terenie pomiędzy ulicami Melaheiði i Lyngheiði,Projekt zakłada zamontowanie tyrolki na placu zabaw pomiędzy ulicami Melaheiði i Lyngheiði
Digranes,https://yrpri.org/post/59068,11,"64.108375, -21.858396",,Gervigras á sparkvöll milli Trönuhjalla og Engihjalla,Setja gervigras á fótboltavöll á milli Trönuhjalla og Engihjalla,Artificial grass on the football pitch between Trönuhjalli and Engihjalli,Put artificial grass on the football pitch between Trönuhjalli and Engihjalli,Sztuczna murawa na boisku do piłki nożnej między ulicami Trönuhjalli a Engihjalli,Projekt zakłada ułożenie sztucznej murawy na boisku do piłki nożnej między ulicami Trönuhjalli a Engihjalli
Digranes,https://yrpri.org/post/59027,25,"64.105396, -21.899899",,"Aðskilja göngu- og hjólastíga í Kópavogsdal, 1. áfangi",Gera sér hjólaleið við Fífuhvamm,"Separation of the footpaths and cycling lanes in Kópavogur valley, Stage 1",Make a separate cycling lane at Fífuhvammur,"Rozdzielenie ścieżek spacerowej i rowerowej w dolinie Kópavogur, etap 1",Projekt zakłada wydzielenie osobnej ścieżki rowerowej w Fífuhvammur
Digranes,https://yrpri.org/post/59067,19,"64.107738, -21.892718",,Leik- og boltasvæði við Reynihvamm / Eskihvamm,"Endurnýja leiksvæði, setja gervigras á sparkvöll og setja upp körfu á leiksvæðið við Reynihvamm",Playground and ball playing area at Reynihvammur / Eskihvammur,"Renovate the playground area, put artificial grass on the football pitch, and install a basketball hoop in the play area at Reynihvammur",Plac zabaw i boisko do gry w piłkę u zbiegu ulic Reynihvammur/Eskihvammur,"Projekt zakłada odnowienie placu zabaw, ułożenie sztucznej murawy na boisku do piłki nożnej oraz montaż kosza do koszykówki na placu zabaw przy ulicy Reynihvammur"
Digranes,https://yrpri.org/post/59417,18,"64.114180, -21.853869",,Leiksvæði fyrir hreyfihamlaða,Gera sérstakan leikvöll fyrir hreyfihamlaða,Playground area for disabled children,Construct a separate playground area for disabled children,Plac zabaw dla dzieci z niepełnosprawnością,Projekt zakłada budowę osobnego placu zabaw dla dzieci z niepełnosprawnością
Digranes,https://yrpri.org/post/59938,5,"64.104991, -21.910278",,Fjölga bekkjum í hverfinu,Setja upp 10 bekki í Fossvogsdal og víðar hverfinu,Increase the number of benches in the neighbourhood,Install 10 benches in Fossvogur valley and at other locations in the neighbourhood,Zwiększenie liczby ławek w okolicy,Projekt zakłada zamontowanie 10 ławek w dolinie Fossvogur i innych miejscach w okolicy
Digranes,https://yrpri.org/post/59157,22,"64.110664, -21.901670",,Körfuboltavöllur við Kópavogsskóla,Endurnýja körfuboltavöll á lóð Kópavogsskóla,Basketball court by Kópavogur school,Renovate the basketball court on the grounds of Kópavogur school,Boisko do koszykówki przy szkole Kópavogur,Projekt zakłada odnowienie boiska do koszykówki na terenie szkoły Kópavogur
