,,Area name,Area budget,,,,,,,,,,,,,,,
,,Kársnes,33,,,,,,,,,,,,,,,
,,Digranes,62,,,,,,,,,,,,,,,
,,Smárahverfi,24,,,,,,,,,,,,,,,
,,Fífuhvammur,36,,,,,,,,,,,,,,,
,,Vatnsendi,45,,,,,,,,,,,,,,,
,,Samtals:,200,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Nr,Area Name,URL to original idea (optional),Cost,Location 1,Location 2 (optional),Name-is,Description-is,Name-en,Description-en,Name-pl,Description-pl,,,,,,
9,D73,Digranes,https://yrpri.org/post/59417,18,"64.114180, -21.853869",,Leiksvæði fyrir hreyfihamlaða ,Gera sérstakan leikvöll fyrir hreyfihamlaða ,,,,,,,,,,
10,D118,Digranes,https://yrpri.org/post/59938,5,,,Fjölga bekkjum í hverfinu,Setja upp 10 bekki í Fossvogsdal og víðar hverfinu,,,,,,,,,,
11,D9,Digranes,https://yrpri.org/post/59157,22,"64.110664, -21.901670",,Körfuboltavöllur við Kópavogsskóla,Endurnýja körfuboltavöll á lóð Kópavogsskóla,,,,,,,,,,
12,D104,Digranes,https://yrpri.org/post/59698,6,"64.113095, -21.887170",,Stígur milli Hjallabrekku og Laufbrekku,Bæta stíg við Hjallabrekku 2 fyrir gangandi og hjólandi,,,,,,,,,,
13,D69,Digranes,https://yrpri.org/post/59849,11,,,Lýsing í undirgöngum,Bæta lýsingu í 5 undirgöngum í hverfinu,,,,,,,,,,
14,D138,Digranes,https://yrpri.org/post/59955,25,"64.114169, -21.854927",,"""Pump track""-hjólabraut í Fossvogsdal","Setja upp ""Pump track"" hjóla-, hjólabretta-, hlaupahjólabraut í Fossvogsdal",,,,,,,,,,
15,D20,Digranes,https://yrpri.org/post/59132,25,"64.110778, -21.865619",,Körfuboltavöllur við Álfhólsskóla-Hjalla,"Gera körfuboltavöll við Álfhólsskóla-Hjalla, þar sem nú er malarvöllur",,,,,,,,,,
16,D32,Digranes,https://yrpri.org/post/59649,5,"64.106819, -21.901877",,Skammdegislýsing í Hlíðargarð,"Setja upp ""jóla""lýsingu í Hlíðargarði og hafa kveikt frá október og fram í febrúar",,,,,,,,,,
17,D46,Digranes,https://yrpri.org/post/59723,10,"64.110529, -21.878261",,Setja upp grillskýli milli Mela- og Lyngheiðar,Setja upp grillskýli á opna svæðinu milli Melaheiðar og Lyngheiðar,,,,,,,,,,
18,D115,Digranes,https://yrpri.org/post/59768,8,,,Þrektæki fyrir eldri borgara,Setja upp þrektæki fyrir eldri borgara á skjólgóðum stað,,,,,,,,,,
19,D59,Digranes,https://yrpri.org/post/59464,6,"64.110998, -21.881912",,Lýsing á gönguleið um Víghólasvæðið,"Setja upp lýsingu á gönguleið milli Bjarnhólastígs og Lyngheiðar, norðan og austan leikskólans Kópahvols",,,,,,,,,,
20,D24,Digranes,https://yrpri.org/post/59158,6,"64.110529, -21.900401",,Hjólastæði á lóð Kópavogsskóla,Fjölga og endurnýja hjólastæði við Kópavogsskóla,,,,,,,,,,
1,S18,Smárahverfi,https://yrpri.org/post/59592,9,"64.105476, -21.890940",,Fleiri leiktæki við ærslabelg við Dalsmára,"Setja aparólu, útigrill o.fl. við ærslabelg við Dalsmára",,,,,,,,,,
2,S20,Smárahverfi,https://yrpri.org/post/59591,24,"64.103571, -21.884608",,Leiksvæði við Lautasmára,Endurnýja leiksvæði við Lautasmára,,,,,,,,,,
3,S….,Smárahverfi,https://yrpri.org/post/62167,9,"64.105076, -21.881610",,Leiksvæði við Lækjasmára,Endurbætur á leiksvæði við Lækjasmára,,,,,,,,,,
4,S23,Smárahverfi,https://yrpri.org/post/59246,24,"64.103059, -21.875168",,Bæta undirgöng fyrir gangandi undir Reykjanesbraut,"Bæta undirgöng fyrir gangandi undir Reykjanesbraut, milli Skógarlindar og Dalvegar",,,,,,,,,,
5,S2,Smárahverfi,https://yrpri.org/post/59021,12,"64.102736, -21.894447",,Klifurveggur við Smáraskóla,Gera klifurvegg á lóð Smáraskóla,,,,,,,,,,
6,S27,Smárahverfi,https://yrpri.org/post/59696,9,"64.103084, -21.895854",,Hjólaskýli við Smáraskóla,Setja upp hjólaskýli á lóð Smáraskóla,,,,,,,,,,
7,S33,Smárahverfi,https://yrpri.org/post/59601,7,"64.105402, -21.886523",,Fótboltavöllur á lóð leikskólans Lækjar,"Endurnýja malbikaðan fótboltavöll við leikskólann Læk, setja mýkra undirlag",,,,,,,,,,
8,S52,Smárahverfi,https://yrpri.org/post/59963,18,"64.102451, -21.896042",,Gervigrasvöllur á lóð Smáraskóla ,Setja gervigras og girðingu í staðinn fyrir malbikaða völlinn við Smáraskóla ,,,,,,,,,,
9,S16,Smárahverfi,https://yrpri.org/post/59180,3,"64.102469, -21.895051",,Lýsing við boltavelli við Smáraskóla,Bæta lýsingu við boltavelli við Smáraskóla,,,,,,,,,,
10,S26,Smárahverfi,https://yrpri.org/post/59600,6,,,Róla fyrir hreyfihamlaða á leiksvæði í Smárahverfi,Setja upp rólu fyrir fyrir hreyfihamlaða á leiksvæði í Smárahverfi,,,,,,,,,,
11,S6,Smárahverfi,https://yrpri.org/post/59002,2,"64.105334, -21.890822",,Vatnspóstur við ærslabelginn við Dalsmára,Setja upp vatnspóst (-font) við ærslabelginn í Kópavogsdal,,,,,,,,,,
12,S10,Smárahverfi,https://yrpri.org/post/58911,20,"64.105108, -21.888897",,"""Pump-track"" hjóla- hlaupahjóla- hjólabrettabraut við Dalsmára","Setja upp ""Pump track"" hjóla-, hlaupahjóla-, hjólabrettabraut við ærslabelginn í Kópavogsdal",,,,,,,,,,
13,S22,Smárahverfi,https://yrpri.org/post/58992,13,"64.100726, -21.898445",,Umbætur á grænu svæði í Nónhæð,"Umbætur á opnu svæði í Nónhæð (brekkan frá Arnarsmára niður að Fífuhvammsvegi), m.a. gera sleðabrekku og auka gróður",,,,,,,,,,
14,S36,Smárahverfi,https://yrpri.org/post/59597,2,,,Skilti með kynningu á gömlum leikjum,Útbúa og setja upp skilti í hverfinu með gömlum leikjum í myndformi,,,,,,,,,,
1,F11,Fífuhvammur,https://yrpri.org/post/59415,11,"64.091604, -21.854658",,Hjólaskýli með myndavélum við Salaskóla,Setja upp hjólaskýli með myndavélum við Salaskóla,,,,,,,,,,
2,V78,Fífuhvammur,https://yrpri.org/post/59672,9,"64.091890, -21.855366",,Hjólabogar við Salalaug,Setja upp hjólaboga við innganginn í Salalaug,,,,,,,,,,
3,F13,Fífuhvammur,https://yrpri.org/post/58998,6,"64.099650, -21.864582",,Lýsing á göngustígum að Lindaskóla,Bætt lýsing á göngustígum að Lindaskóla,,,,,,,,,,
